SAO_number  RA2000  Dec2000  Mag  Type1  Type2  Arcsec
056138  3.086271  +38.8402  3.70  M  3  206783.62
101725  15.76986  +15.4218  3.70  A  2  439561.37
236164  8.671577  -52.9215  3.70  B  3  406217.74
092484  1.524720  +15.3456  3.70  G  5  98318.27
198398  7.754240  -37.9688  3.70  K  5  397636.09
244168  16.82970  -59.0417  3.70  K  5  356131.11
225712  15.37807  -44.6894  3.70  B  3  420410.03
146362  22.87691  -7.57966  3.80  M  0  66340.40
156605  11.32238  -14.7788  3.80  K  0  583659.15
249311  5.560435  -62.4893  3.80  F  5  313055.04
037375  1.633216  +48.6283  3.80  K  0  190896.78
071121  21.24655  +38.0453  3.80  F  0  193421.48
064202  14.53042  +30.3719  3.80  K  0  478311.07
105259  19.78986  +18.5347  3.80  +  +  232730.87
197258  6.830689  -32.5084  3.80  B  2  361741.09
251575  11.76016  -66.7283  3.80  A  5  407601.75
119076  11.84492  +1.76473  3.80  F  8  637489.81
216710  4.233365  -42.2940  3.80  K  0  254622.46
081299  10.33295  +19.8409  3.80  K  0  534533.55
155785  10.17641  -12.3546  3.80  K  0  540661.81
227402  16.90971  -42.3610  3.80  K  5  367230.61
257193  14.79774  -79.0447  3.80  K  5  353244.12
098709  9.685843  +9.89230  3.80  +  +  518675.07
232696  2.275173  -51.5126  3.80  B  8  212367.50
120648  14.77087  +1.89272  3.80  A  0  498248.92
173282  7.246858  -26.7721  3.80  B  3  383888.43
121218  15.84697  +4.47777  3.80  A  2  439867.80
150957  5.940076  -14.1671  3.80  F  0  320862.42
014908  9.525475  +63.0618  3.80  F  0  400235.46
112142  4.853439  +5.60506  3.80  B  3  262390.57
164560  21.66816  -16.6627  3.80  F  0  137813.97
061391  9.314076  +36.8022  3.80  A  2  459523.24
067452  18.83463  +33.3625  3.80  +  +  286447.19
117527  9.239416  +2.31424  3.80  A  0  498737.48
183649  15.64425  -29.7774  3.80  B  3  432476.41
253945  17.51834  -60.6832  3.80  B  8  336709.63
076228  3.819371  +24.0539  3.80  B  8  217555.44
170759  5.741056  -22.4482  3.80  F  8  311077.97
183619  15.61706  -28.1353  3.80  K  2  435623.78
132406  5.645760  -2.60004  3.80  B  0  304891.00
144810  20.79458  -9.49572  3.80  A  0  175615.40
248877  3.736685  -64.8078  3.80  K  0  274492.54
163427  20.30096  -12.5442  3.80  G  5  203118.50
076131  3.747920  +24.1130  3.80  B  5  214208.55
116569  8.275254  +9.18550  3.80  K  2  445076.48
085750  18.12570  +28.7625  3.80  A  0  318049.39
046872  17.65778  +46.0062  3.80  B  3  336828.08
111172  3.413557  +9.02882  3.80  G  5  186378.46
219082  7.870285  -40.5755  3.80  G  5  399346.40
111195  3.452828  +9.73273  3.80  B  8  188778.91
130564  3.548848  -9.45823  3.80  K  0  193724.92
229023  18.44957  -45.9682  3.80  B  3  307146.71
128694  0.323797  -8.82381  3.80  K  0  36226.75
085590  17.96276  +29.2474  3.80  K  0  325754.84
129274  1.400388  -8.18348  3.80  K  0  80914.57
102107  16.36538  +19.1536  3.80  F  0  407092.53
191683  23.15747  -21.1722  3.80  K  0  88228.39
083958  15.71232  +26.2957  3.90  A  0  433287.74
065716  17.00489  +30.9265  3.90  A  0  369958.52
256374  7.145835  -70.4999  3.90  K  0  344380.06
007593  12.55805  +69.7880  3.90  B  5  395953.90
050424  21.08218  +43.9279  3.90  K  5  211178.08
067451  18.83461  +33.3621  3.90  +  +  286447.34
234134  5.788088  -51.0666  3.90  A  3  316811.09
112197  4.904186  +2.44067  3.90  B  3  264881.34
238574  10.89155  -58.8530  3.90  K  0  430954.87
118355  10.54689  +9.30655  3.90  B  0  562998.47
025502  5.992116  +54.2846  3.90  K  0  323751.55
128085  23.28601  +3.28230  3.90  K  0  40300.94
030631  17.89210  +56.8729  3.90  K  0  327182.80
190341  21.44445  -22.4114  3.90  G  5  156660.87
062484  11.30300  +31.5290  3.90  G  0  529030.91
148059  1.857674  -10.3354  3.90  K  0  106471.36
187643  19.07806  -21.7410  3.90  K  0  270027.32
101826  15.94088  +15.6612  3.90  F  5  430640.85
106357  20.66065  +15.9127  3.90  B  8  186850.62
079031  7.068489  +20.5702  3.90  G  0  377929.86
101145  14.68587  +13.7284  3.90  A  2  496146.42
195148  4.592513  -30.5625  3.90  K  0  258952.87
086003  18.39490  +21.7691  3.90  K  0  304197.48
054281  0.945893  +38.4990  3.90  A  2  146327.81
111579  4.052607  +5.98938  3.90  A  0  219469.52
195924  5.520215  -35.4705  3.90  K  0  302918.64
039078  3.753231  +42.5786  3.90  F  5  237184.48
121658  16.51524  +1.98407  3.90  A  0  404126.85
062297  10.88854  +34.2141  3.90  K  0  512600.33
215092  0.436725  -43.6797  3.90  A  3  158652.78
039966  5.041301  +41.0759  3.90  +  +  285153.02
214983  0.156869  -45.7479  3.90  K  0  164860.25
034542  22.52158  +50.2822  3.90  A  0  193392.48
125235  19.92188  +6.40677  3.90  K  0  220926.38
257407  16.55753  -78.8967  3.90  K  0  338657.93
046028  16.32905  +46.3132  3.90  B  5  385252.82
043886  11.76756  +47.7790  3.90  K  0  475647.87
245242  18.11051  -50.0915  3.90  B  1  320171.73
079374  7.428772  +27.7983  3.90  K  0  391888.86
256438  7.697023  -72.6061  3.90  K  0  350575.78
093868  4.329892  +15.6272  3.90  K  0  237364.04
027401  9.849823  +59.0389  3.90  F  0  416845.15
170926  5.855351  -20.8796  3.90  K  0  316702.20
031702  19.49509  +51.7299  3.90  A  2  274796.62
093897  4.382247  +17.5423  3.90  K  0  240945.95
056673  3.738648  +32.2888  3.90  B  1  222667.44
076155  3.763771  +24.3670  4.00  B  5  215203.01
138721  12.33172  -0.66676  4.00  A  0  629924.87
250614  9.537414  -62.7888  4.00  M  5  401175.32
149781  4.636332  -14.3049  4.00  K  0  252742.08
009540  19.80284  +70.2679  4.00  K  0  292211.65
204545  13.51741  -39.4076  4.00  K  0  487573.95
038609  3.158267  +44.8578  4.00  K  0  220720.61
249809  7.280517  -67.9573  4.00  F  5  349532.73
093719  4.011333  +12.4906  4.00  B  3  219400.84
056856  3.982758  +35.7901  4.00  O  E  237146.13
050274  20.95283  +41.1679  4.00  A  0  209824.88
128513  23.98859  +6.86336  4.00  F  5  24715.68
123013  18.01072  +2.93158  4.00  B  5  323420.07
256955  12.54117  -72.1335  4.00  B  5  387655.35
253474  16.25734  -63.6851  4.00  G  0  364544.69
034508  22.48610  +58.4158  4.00  +  +  219988.03
231154  22.48782  -43.4954  4.00  G  5  172747.70
223560  12.62831  -48.5411  4.00  A  2  470804.14
049337  20.22714  +46.7410  4.00  +  +  244196.07
110665  2.658037  +0.32853  4.00  B  2  143538.12
238813  11.14312  -58.9755  4.00  F  8  432595.60
099587  11.39878  +10.5295  4.00  F  5  598210.31
215536  1.520863  -49.0727  4.00  K  0  190272.22
033693  21.72517  +58.7805  4.00  M  0  232525.34
028751  13.42042  +54.9880  4.00  A  5  440323.90
031537  19.28503  +53.3682  4.00  K  0  283105.16
168373  3.201180  -28.9878  4.00  F  8  195082.22
225426  15.08532  -47.0519  4.00  B  5  425134.38
159370  15.59214  -14.7891  4.00  K  0  449082.62
146044  22.36095  -1.38739  4.00  A  0  88641.42
066485  17.93750  +37.2501  4.00  K  0  326684.17
162512  19.36125  -17.8470  4.00  A  5  254177.51
106230  20.55355  +11.3031  4.00  B  5  189249.51
186497  18.22932  -21.0589  4.00  B  8  312440.90
168460  3.325277  -21.7576  4.00  M  B  191656.41
023655  2.844958  +55.8958  4.00  K  0  236355.69
093955  4.476243  +15.9629  4.00  K  0  245058.26
250374  8.917453  -60.6443  4.00  B  8  395352.87
028738  13.39900  +54.9213  4.00  A  2  440823.57
135896  8.427673  -3.90642  4.00  A  0  454741.05
196735  6.368550  -33.4367  4.00  G  5  340600.31
130197  2.940456  -8.89815  4.00  K  0  161329.48
090238  22.11688  +25.3454  4.00  F  5  134058.82
199490  8.668398  -35.3083  4.00  G  5  437964.99
140090  14.71764  -5.65826  4.00  F  5  500083.70
069116  19.93847  +35.0838  4.00  K  0  239639.44
183957  15.94805  -29.2133  4.00  B  3  419500.27
039336  4.144355  +47.7124  4.00  B  3  258081.77
224577  13.97111  -42.1004  4.00  B  3  468688.93
053204  23.62600  +46.4581  4.00  K  0  168186.02
125159  19.87450  +1.00569  4.00  G  0  222791.43
217650  5.985779  -42.8154  4.00  K  0  323436.63
258698  14.44868  -83.6673  4.10  K  2  342256.86
042642  9.010666  +41.7822  4.10  F  5  438914.04
243643  16.33063  -50.1553  4.10  K  0  380643.75
184123  16.11346  -20.6692  4.10  B  2  418789.34
229659  19.39811  -40.6153  4.10  B  8  267248.46
174400  7.730129  -28.9551  4.10  A  2  405051.36
220265  8.677114  -46.6483  4.10  F  5  418592.34
023685  2.904299  +52.7626  4.10  +  +  230377.31
229047  18.48058  -49.0704  4.10  K  0  307025.97
134330  7.197730  -0.49271  4.10  A  0  388675.28
133012  6.247591  -6.27479  4.10  K  0  337289.76
123107  18.09096  +2.49950  4.10  K  0  319094.48
224833  14.32339  -46.0579  4.10  B  3  448967.53
