CenterRa CenterDec StarDensity
49.99999 -30.00000 2
49.99999 -25.00000 6
49.99999 -20.00000 4
49.99999 -15.00000 2
49.99999 -10.00000 5
49.99999 -05.00000 4
49.99999 +00.00000 3
49.99999 +05.00000 4
49.99999 +10.00000 4
49.99999 +15.00000 2
49.99999 +20.00000 3
49.99999 +25.00000 8
49.99999 +30.00000 6
49.99999 +35.00000 8
49.99999 +40.00000 8
49.99999 +45.00000 16
49.99999 +50.00000 19
49.99999 +55.00000 13
49.99999 +60.00000 16
49.99999 +65.00000 16
49.99999 +70.00000 13
49.99999 +75.00000 15
49.99999 +80.00000 39
49.99999 +85.00000 98
54.99999 -85.00000 46
54.99999 -80.00000 29
54.99999 -75.00000 17
54.99999 -70.00000 8
54.99999 -65.00000 19
54.99999 -60.00000 14
54.99999 -55.00000 2
54.99999 -50.00000 4
54.99999 -45.00000 6
54.99999 -40.00000 6
54.99999 -35.00000 4
54.99999 -30.00000 3
54.99999 -25.00000 5
54.99999 -20.00000 2
54.99999 -15.00000 4
54.99999 -10.00000 6
54.99999 -05.00000 6
54.99999 +00.00000 2
54.99999 +05.00000 4
54.99999 +10.00000 4
54.99999 +15.00000 2
54.99999 +20.00000 12
54.99999 +25.00000 12
54.99999 +30.00000 6
54.99999 +35.00000 9
54.99999 +40.00000 6
54.99999 +45.00000 13
54.99999 +50.00000 19
54.99999 +55.00000 9
54.99999 +60.00000 17
54.99999 +65.00000 14
54.99999 +70.00000 13
54.99999 +75.00000 17
54.99999 +80.00000 39
54.99999 +85.00000 98
60.00000 -85.00000 46
60.00000 -80.00000 33
60.00000 -75.00000 15
60.00000 -70.00000 8
60.00000 -65.00000 17
60.00000 -60.00000 14
60.00000 -55.00000 4
60.00000 -50.00000 4
60.00000 -45.00000 4
60.00000 -40.00000 5
60.00000 -35.00000 5
60.00000 -30.00000 3
60.00000 -25.00000 3
60.00000 -20.00000 4
60.00000 -15.00000 3
60.00000 -10.00000 8
60.00000 -05.00000 5
60.00000 +00.00000 3
60.00000 +05.00000 5
60.00000 +10.00000 7
60.00000 +15.00000 5
60.00000 +20.00000 11
60.00000 +25.00000 13
60.00000 +30.00000 6
60.00000 +35.00000 9
60.00000 +40.00000 6
60.00000 +45.00000 9
60.00000 +50.00000 14
60.00000 +55.00000 13
60.00000 +60.00000 17
60.00000 +65.00000 17
60.00000 +70.00000 8
60.00000 +75.00000 17
60.00000 +80.00000 42
60.00000 +85.00000 98
64.99999 -85.00000 39
64.99999 -80.00000 33
64.99999 -75.00000 17
64.99999 -70.00000 6
64.99999 -65.00000 16
64.99999 -60.00000 14
64.99999 -55.00000 5
64.99999 -50.00000 2
64.99999 -45.00000 4
64.99999 -40.00000 4
64.99999 -35.00000 2
64.99999 -30.00000 4
64.99999 -25.00000 3
64.99999 -20.00000 3
64.99999 -15.00000 3
64.99999 -10.00000 6
64.99999 -05.00000 5
64.99999 +00.00000 4
64.99999 +05.00000 6
64.99999 +10.00000 10
64.99999 +15.00000 18
64.99999 +20.00000 18
64.99999 +25.00000 12
64.99999 +30.00000 7
64.99999 +35.00000 5
64.99999 +40.00000 4
64.99999 +45.00000 6
64.99999 +50.00000 15
64.99999 +55.00000 14
64.99999 +60.00000 13
64.99999 +65.00000 17
64.99999 +70.00000 10
64.99999 +75.00000 19
64.99999 +80.00000 36
64.99999 +85.00000 85
69.99999 -85.00000 39
69.99999 -80.00000 33
69.99999 -75.00000 15
69.99999 -70.00000 5
69.99999 -65.00000 12
69.99999 -60.00000 13
69.99999 -55.00000 6
69.99999 -50.00000 5
69.99999 -45.00000 3
69.99999 -40.00000 5
69.99999 -35.00000 5
69.99999 -30.00000 2
69.99999 -25.00000 3
69.99999 -20.00000 5
69.99999 -15.00000 8
69.99999 -10.00000 5
69.99999 -05.00000 6
69.99999 +00.00000 6
69.99999 +05.00000 6
69.99999 +10.00000 9
69.99999 +15.00000 22
69.99999 +20.00000 17
69.99999 +25.00000 9
69.99999 +30.00000 4
69.99999 +35.00000 7
69.99999 +40.00000 8
69.99999 +45.00000 7
69.99999 +50.00000 13
69.99999 +55.00000 11
69.99999 +60.00000 12
69.99999 +65.00000 9
69.99999 +70.00000 11
69.99999 +75.00000 13
69.99999 +80.00000 36
69.99999 +85.00000 78
75.00000 -85.00000 39
75.00000 -80.00000 29
75.00000 -75.00000 17
75.00000 -70.00000 8
75.00000 -65.00000 12
75.00000 -60.00000 10
75.00000 -55.00000 4
75.00000 -50.00000 5
75.00000 -45.00000 4
75.00000 -40.00000 6
75.00000 -35.00000 5
75.00000 -30.00000 3
75.00000 -25.00000 6
75.00000 -20.00000 9
75.00000 -15.00000 8
75.00000 -10.00000 8
75.00000 -05.00000 8
75.00000 +00.00000 6
75.00000 +05.00000 6
75.00000 +10.00000 8
75.00000 +15.00000 7
75.00000 +20.00000 7
75.00000 +25.00000 5
